frame_idx,time_s,joint_idx,joint_name,x,y,z,event_label
0,0.0,0,hip_center,-0.003768164897337556,0.0004589054733514786,0.0003724619746208191,
0,0.0,1,right_hip,-0.010075965896248817,0.012145206332206726,-0.10518370568752289,
0,0.0,2,right_knee,0.03300556540489197,0.37019044160842896,-0.02561153471469879,
0,0.0,3,right_ankle,0.002289198338985443,0.7076590061187744,0.03180037811398506,
0,0.0,4,left_hip,0.0025397378485649824,-0.011227584443986416,0.10593033581972122,
0,0.0,5,left_knee,0.0501391664147377,0.3133191466331482,0.19262990355491638,
0,0.0,6,left_ankle,0.024296678602695465,0.6375658512115479,0.20573924481868744,
0,0.0,7,spine,0.07536275684833527,-0.1994253695011139,-0.02202688902616501,
0,0.0,8,thorax,0.1544933319091797,-0.3993087410926819,-0.044426143169403076,
0,0.0,9,neck,0.22821208834648132,-0.4212963581085205,-0.04663385450839996,
0,0.0,10,head,0.3016659915447235,-0.44427043199539185,-0.048954688012599945,
0,0.0,11,left_shoulder,0.14682215452194214,-0.387781023979187,0.07444368302822113,
0,0.0,12,left_elbow,0.13605879247188568,-0.17315100133419037,0.15424495935440063,
0,0.0,13,left_wrist,0.21997474133968353,0.00955432653427124,0.165432870388031,
0,0.0,14,right_shoulder,0.16119419038295746,-0.4083487391471863,-0.16356679797172546,
0,0.0,15,right_elbow,0.16005171835422516,-0.1954302340745926,-0.20904088020324707,
0,0.0,16,right_wrist,0.22761127352714539,-0.005358010530471802,-0.21017034351825714,
1,0.033358,0,hip_center,-0.003711365396156907,0.0004696437972597778,0.0003986738156527281,
1,0.033358,1,right_hip,-0.010521065443754196,0.0119627695530653,-0.10514751821756363,
1,0.033358,2,right_knee,0.032832030206918716,0.3700125813484192,-0.025743596255779266,
1,0.033358,3,right_ankle,0.0022090617567300797,0.7075371742248535,0.031387992203235626,
1,0.033358,4,left_hip,0.0030992378015071154,-0.01102360337972641,0.10594652593135834,
1,0.033358,5,left_knee,0.04965032637119293,0.3140886425971985,0.1910824328660965,
1,0.033358,6,left_ankle,0.02382003143429756,0.6383519172668457,0.2037990391254425,
1,0.033358,7,spine,0.07531971484422684,-0.19944392144680023,-0.02209160290658474,
1,0.033358,8,thorax,0.15435035526752472,-0.3993566334247589,-0.044581905007362366,
1,0.033358,9,neck,0.22804778814315796,-0.42141228914260864,-0.04682265594601631,
1,0.033358,10,head,0.30149635672569275,-0.4444006681442261,-0.04917063191533089,
1,0.033358,11,left_shoulder,0.14770124852657318,-0.3874994218349457,0.07431706041097641,
1,0.033358,12,left_elbow,0.1369641125202179,-0.1728178709745407,0.15398314595222473,
1,0.033358,13,left_wrist,0.22091081738471985,0.00989842414855957,0.16475319862365723,
1,0.033358,14,right_shoulder,0.16007652878761292,-0.4088664948940277,-0.16373680531978607,
1,0.033358,15,right_elbow,0.1593189686536789,-0.1960749626159668,-0.20980936288833618,
1,0.033358,16,right_wrist,0.22724920511245728,-0.006166249513626099,-0.2134394347667694,
2,0.066716,0,hip_center,-0.003612332046031952,0.0004862208152189851,0.00043116393499076366,
2,0.066716,1,right_hip,-0.011341238394379616,0.011614452116191387,-0.10509081929922104,
2,0.066716,2,right_knee,0.03249098360538483,0.3696785271167755,-0.026014894247055054,
2,0.066716,3,right_ankle,0.00205116905272007,0.7073057889938354,0.03060561791062355,
2,0.066716,4,left_hip,0.004121039062738419,-0.010641852393746376,0.10595457255840302,
2,0.066716,5,left_knee,0.048764362931251526,0.31543830037117004,0.18836709856987,
2,0.066716,6,left_ankle,0.023047996684908867,0.6397252082824707,0.2007075697183609,
2,0.066716,7,spine,0.07521957159042358,-0.19948838651180267,-0.022214746102690697,
2,0.066716,8,thorax,0.1540505588054657,-0.3994622826576233,-0.04486119747161865,
2,0.066716,9,neck,0.22771678864955902,-0.4216141998767853,-0.04717719182372093,
2,0.066716,10,head,0.3011590242385864,-0.4446159303188324,-0.04959117993712425,
2,0.066716,11,left_shoulder,0.14923518896102905,-0.38700157403945923,0.0740644708275795,
2,0.066716,12,left_elbow,0.13856011629104614,-0.1722339689731598,0.15350666642189026,
2,0.066716,13,left_wrist,0.2225344479084015,0.010508894920349121,0.1635885089635849,
2,0.066716,14,right_shoulder,0.15800434350967407,-0.40979617834091187,-0.16401946544647217,
2,0.066716,15,right_elbow,0.1578492969274521,-0.19730237126350403,-0.21145212650299072,
2,0.066716,16,right_wrist,0.2264387309551239,-0.00780487060546875,-0.22035178542137146,
3,0.100073,0,hip_center,-0.003489895723760128,0.0005050103645771742,0.00046391450450755656,
3,0.100073,1,right_hip,-0.012446077540516853,0.011151176877319813,-0.1050107553601265,
3,0.100073,2,right_knee,0.032018519937992096,0.3692374527454376,-0.02638988196849823,
3,0.100073,3,right_ankle,0.0018381960690021515,0.706994354724884,0.02959289401769638,
3,0.100073,4,left_hip,0.0054780105128884315,-0.010140455327928066,0.10593941062688828,
3,0.100073,5,left_knee,0.047705214470624924,0.3171056807041168,0.18493273854255676,
3,0.100073,6,left_ankle,0.02214808575809002,0.641410231590271,0.1971394419670105,
3,0.100073,7,spine,0.07507536560297012,-0.19955094158649445,-0.022389356046915054,
