frame,kp_idx,kp_name,x,y,conf
0,0,nose,94.3899154663086,55.44685363769531,0.9993425011634827
0,1,left_eye,94.9039077758789,52.70479202270508,0.9988879561424255
0,2,right_eye,94.5541763305664,52.55178451538086,0.9985886216163635
0,3,left_ear,91.96771621704102,50.64427375793457,0.9978283047676086
0,4,right_ear,91.53875350952148,50.64499378204346,0.9981277585029602
0,5,left_shoulder,80.69514274597168,58.376922607421875,0.9995055198669434
0,6,right_shoulder,83.81281852722168,59.11992073059082,0.9998482465744019
0,7,left_elbow,79.70070838928223,76.32182121276855,0.1065012738108635
0,8,right_elbow,83.3402156829834,78.06305885314941,0.966038167476654
0,9,left_wrist,86.34875297546387,92.34192848205566,0.12700365483760834
0,10,right_wrist,89.01620864868164,93.51461410522461,0.8926787972450256
0,11,left_hip,69.84164237976074,90.22446632385254,0.9992306232452393
0,12,right_hip,69.5797872543335,91.48322105407715,0.9997263550758362
0,13,left_knee,74.14803504943848,113.0404281616211,0.45550769567489624
0,14,right_knee,72.99079895019531,120.23722648620605,0.958325982093811
0,15,left_ankle,72.5550365447998,139.31921005249023,0.6368460059165955
0,16,right_ankle,69.82760429382324,148.03237915039062,0.9710357785224915
1,0,nose,94.08801078796387,55.175371170043945,0.9992242455482483
1,1,left_eye,94.70357894897461,52.6704740524292,0.9986975193023682
1,2,right_eye,94.04712677001953,52.273545265197754,0.9983952641487122
1,3,left_ear,91.86989784240723,50.770368576049805,0.9974517822265625
1,4,right_ear,91.06075286865234,50.58644771575928,0.9978489279747009
1,5,left_shoulder,82.23140716552734,59.666128158569336,0.9994197487831116
1,6,right_shoulder,82.23257064819336,58.851633071899414,0.9998233318328857
1,7,left_elbow,81.05268478393555,77.17506408691406,0.10538548231124878
1,8,right_elbow,82.53789901733398,77.25542545318604,0.9630481004714966
1,9,left_wrist,88.10174942016602,92.55085945129395,0.12677894532680511
1,10,right_wrist,89.01352882385254,92.90757179260254,0.886722981929779
1,11,left_hip,70.87148189544678,90.28396606445312,0.9991268515586853
1,12,right_hip,68.54500770568848,91.17263793945312,0.9996683597564697
1,13,left_knee,73.7225866317749,114.40610885620117,0.4583655297756195
1,14,right_knee,72.86961555480957,119.67617988586426,0.9572572708129883
1,15,left_ankle,71.79795265197754,142.73859024047852,0.6411224603652954
1,16,right_ankle,69.79625701904297,148.0566120147705,0.9703952670097351
2,0,nose,94.07705307006836,55.08525848388672,0.9992128014564514
2,1,left_eye,94.70985412597656,52.65851974487305,0.998681366443634
2,2,right_eye,94.03761863708496,52.17803955078125,0.9983986020088196
2,3,left_ear,91.88702583312988,50.76972007751465,0.9974269866943359
2,4,right_ear,91.05515480041504,50.38630962371826,0.9978702664375305
2,5,left_shoulder,82.30788230895996,59.774956703186035,0.9993772506713867
2,6,right_shoulder,82.00984001159668,57.80673027038574,0.9998170733451843
2,7,left_elbow,80.95536231994629,76.46047115325928,0.1020691767334938
2,8,right_elbow,82.62269973754883,76.09082221984863,0.9620885848999023
2,9,left_wrist,88.45396041870117,92.59410858154297,0.12345504760742188
2,10,right_wrist,89.43933486938477,92.56258964538574,0.8836644291877747
2,11,left_hip,70.84673881530762,90.71629524230957,0.9990951418876648
2,12,right_hip,68.24423313140869,91.2214469909668,0.999649703502655
2,13,left_knee,72.9908275604248,115.28502464294434,0.46124598383903503
2,14,right_knee,72.78527736663818,119.6800708770752,0.9573075175285339
2,15,left_ankle,71.54500007629395,142.91882514953613,0.6471725106239319
2,16,right_ankle,69.63642120361328,148.12189102172852,0.9704275727272034
3,0,nose,94.08426284790039,54.71235752105713,0.9990425705909729
3,1,left_eye,94.83957290649414,52.62688636779785,0.9983916878700256
3,2,right_eye,94.0449333190918,51.91667079925537,0.9981099367141724
3,3,left_ear,92.17009544372559,50.776357650756836,0.9967861771583557
3,4,right_ear,91.06833457946777,50.10180950164795,0.9974782466888428
3,5,left_shoulder,83.8469123840332,60.088515281677246,0.9993042349815369
3,6,right_shoulder,81.35427474975586,57.05370903015137,0.9997901320457458
